,seniorcitizen,id_left1,monthlycharges,totalcharges,churn,id_right1,id_left2,gender_Female,gender_Male,partner_No,partner_Yes,dependents_No,dependents_Yes,contract_Month-to-month,contract_One year,contract_Two year,paperlessbilling_No,paperlessbilling_Yes,paymentmethod_Bank transfer (automatic),paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,phoneservice_No,phoneservice_Yes,multiplelines_No,multiplelines_No phone service,multiplelines_Yes,internetservice_DSL,internetservice_Fiber optic,internetservice_No,streamingtv_No,streamingtv_No internet service,streamingtv_Yes,streamingmovies_No,streamingmovies_No internet service,streamingmovies_Yes,onlinesecurity_No,onlinesecurity_No internet service,onlinesecurity_Yes,onlinebackup_No,onlinebackup_No internet service,onlinebackup_Yes,deviceprotection_No,deviceprotection_No internet service,deviceprotection_Yes,techsupport_No,techsupport_No internet service,techsupport_Yes,tenure_group_1 - 12,tenure_group_13 - 24,tenure_group_25 - 36,tenure_group_37 - 48,tenure_group_49 - 60,tenure_group_61 - 72
0,0,2308,65.6,593.3,0,2308,2308,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False
1,0,3489,59.9,542.4,0,3489,3489,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
2,0,3846,73.9,280.85,1,3846,3846,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False
3,1,5932,98.0,1237.85,1,5932,5932,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
4,1,5570,83.9,267.4,1,5570,5570,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
5,0,1208,69.4,571.45,0,1208,1208,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
6,1,2376,109.7,7904.25,0,2376,2376,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
7,0,2631,84.65,5377.8,0,2631,2631,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
8,1,2279,48.2,340.35,0,2279,2279,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
9,0,4715,90.45,5957.9,0,4715,4715,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
10,0,2003,45.2,2460.55,0,2003,2003,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
11,0,4207,116.8,8456.75,0,4207,4207,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
12,0,4777,68.95,351.5,0,4777,4777,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
13,0,1957,101.3,7261.25,0,1957,1957,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
14,0,4030,45.05,2560.1,0,4030,4030,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
15,0,2347,95.75,6849.4,0,2347,2347,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
16,0,6021,61.25,1993.2,0,6021,6021,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
17,1,346,72.1,72.1,0,346,346,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
18,1,2530,62.7,2791.5,1,2530,2530,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
19,1,4397,25.1,25.1,1,4397,4397,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
20,1,2433,25.2,1306.3,0,2433,2433,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
21,0,6600,94.1,1215.6,1,6600,6600,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
22,0,5595,83.75,1849.95,0,5595,5595,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
23,0,758,19.85,57.2,0,758,758,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
24,0,1325,20.35,76.35,1,1325,1325,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
25,0,6944,30.5,30.5,1,6944,6944,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
26,0,818,103.7,5656.75,0,818,818,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
27,0,1217,20.4,1090.6,0,1217,1217,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
28,0,6222,19.6,471.85,0,6222,6222,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
29,0,1304,19.7,1396.9,0,1304,1304,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
30,0,889,91.2,3247.55,0,889,889,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
31,0,6658,20.45,900.9,0,6658,6658,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
32,0,5010,115.8,7942.15,0,5010,5010,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
33,0,7001,20.55,1343.4,0,7001,7001,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
34,0,4846,39.4,825.4,0,4846,4846,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
35,0,6054,25.1,1070.15,0,6054,6054,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
36,0,2797,89.8,4959.6,0,2797,2797,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
37,0,4959,94.75,5597.65,0,4959,4959,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
38,0,6689,20.3,224.5,0,6689,6689,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
39,0,3787,75.75,1929.0,0,3787,3787,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
40,1,688,49.25,91.1,1,688,688,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
41,0,5922,78.2,2078.95,0,5922,5922,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
42,0,6199,25.5,630.6,0,6199,6199,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
43,0,1124,61.6,1611.0,0,1124,1124,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
44,0,6780,45.0,1242.45,0,6780,6780,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
45,0,697,85.15,6316.2,0,697,697,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
46,0,6120,51.45,727.85,0,6120,6120,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False
47,0,1189,99.25,3532.0,0,1189,1189,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
48,0,5908,44.3,44.3,0,5908,5908,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
49,0,4462,94.2,2607.6,0,4462,4462,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
50,0,6597,81.25,5567.55,0,6597,6597,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
51,0,4922,99.95,3767.4,0,4922,4922,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
52,1,2272,91.55,3673.6,0,2272,2272,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
53,0,7007,104.5,4036.85,1,7007,7007,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
54,1,239,95.0,1120.3,1,239,239,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False
55,0,4356,50.35,314.55,0,4356,4356,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
56,0,1242,64.5,1888.45,0,1242,1242,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
57,0,1129,19.4,529.8,0,1129,1129,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
58,1,3451,104.8,7308.95,0,3451,3451,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
59,0,4520,109.4,6252.7,0,4520,4520,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
60,0,363,50.3,2878.55,0,363,363,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False
61,0,1742,71.4,1212.1,0,1742,1742,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
62,0,2927,116.0,8182.85,0,2927,2927,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
63,0,1174,19.85,19.85,1,1174,1174,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
64,0,1705,99.75,99.75,1,1705,1705,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False
65,1,408,93.95,2861.45,0,408,408,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
66,0,5371,90.8,1442.2,0,5371,5371,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False
